REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
WEST,SPOKANE WA,Stacie Waddle,SP03016A,Pierce-VB US-ID-5033,Ed Blackwell (EBlackw),Self Support Tower,ON-AIR,2025-12-11,12408589,200.0,,"*********************
Lease Access Details
*********************
Vertical Bridge Sites:
This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 or email aton.noc@spx.com. VB site reference number is US-ID-5030. Please verify all codes/combos and special instructions to get access.  If issue, call NOC to verify info or open ticket. Get NTP from VB if needing tower climb. 

*************************
Additional Access Details
*************************
24 hour access. Combo 0951. At the North end of Peirce turn right onto Timberline Dr. At the Y turn Right onto Shanghai Rd. In .5 miles stay right at the Y. In .2 miles turn right. Continue straight for 2.4 miles where the driveway to the tower will be on your Left.",,No,No Gen Plug Available,0.0,,0951,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-90 W from E Knox Ave, E Montgomery Ave and N Argonne Rd, 6 min (1.7 mi). Head west toward N University Rd, 249 ft. Slight left onto N University Rd
115 ft. Turn left onto E Knox Ave, 0.5 mi. Turn right onto N Woodruff Rd, 0.1 mi. Turn left onto E Montgomery Ave, 0.5 mi. Use the left 2 lanes to turn left onto N Argonne Rd. Pass by Jack in the Box (on the right), 0.3 mi. Turn right to merge onto I-90 W toward Spokane, 0.2 mi. Take US-195 S and US-12 E to State Hwy 11 N in Lewis County, 2 hr 45 min (157 mi).Merge onto I-90 W. 8.0 mi. Take exit 279 for US-195 S toward Colfax/Pullman, 0.4 mi. Continue onto US-195 S, 5.5 mi
Continue straight to stay on US-195 S, 67.3 mi. Turn right to stay on US-195 S. Entering Idaho, 20.8 mi. Merge onto US-95 S, 6.3 mi. Slight left to stay on US-95 S (signs for US-12 E/Missoula/Boise), 7.6 mi. Use the right lane to take the US-12 ramp to Orofino/Missoula, 0.7 mi. Continue onto US-12 E, 40.6 mi. Follow State Hwy 11 N to your destination in Clearwater County, 50 min (31.0 mi). Turn left onto State Hwy 11 N, 28.6 mi. Turn right onto French Mountain Rd, 486 ft. Turn left. Destination will be on the right, 2.4 mi. 1638 Rhodes Creek Loop Rd, Pierce, ID 83546",,,,,,,,,,,,,,,,No,
WEST,MONTANA,Stacie Waddle,MT02061L,Ice Pond,Christopher Childs (CChilds4),Monopole,ON-AIR,2025-12-11,2000520650,200.0,,"Verified 1/12/2026 - Chris Childs
Atlas Tower Combo: 2025",,Yes,Cam Lock,30.0,,2025,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Verified 1/12/2026 - Chris Childs
Once on I-90 near Bozeman, Merge onto I-90BL/US-191 S/E Main St and continue for 0.1 miles. Turn left onto Haggerty Ln, then make a right turn. Your destination, 205 Haggerty Ln, Bozeman, MT 59715, will be on the left.

",,,,,,,,,,,,,,,,No,2026-01-12 12:40:59
CENTRAL,CINCINNATI,,CIY3401A,"Kettering Health Sycamore Hospital - Miamisburg,OH",Ben Richardson (BRichar34),In-Building BTS,ON-AIR,2025-12-11,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,TEK: Melissa Doyle / Smartlink: Eddy Miao,CH89310B,SBA WI48229-A,Maciej Pudlo (MPudlo1),Monopole,ON-AIR,2025-12-11,NZT966147,200.0,,"Access 24/7: Yes
Keys: No
Gate: 4722
BTS: 0007
SSC:0007
HPL3:0007
PPC:0007
AAV:0007
Generator Capable: Yes, Cam-Lock
Emergency Contact: SBA 1-888-950-7483
SBA Site#: WI-48229
Access: Site located behind the barn.
Trip hazard at front of platform stairs.
Grounding wells sticks out.",,Yes,Cam Lock,75.0,No,4722,,4722,,4722,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Access: Site located behind the barn.
Trip hazard at front of platform stairs.
Grounding wells sticks out.",,,,,,,,,,,,,,,,No,
NORTHEAST,NY (UPSTATE),,UP10377B,Silver Creek,Craig Johnston (CJohnst22),Monopole,ON-AIR,2025-12-11,300759502,200.0,,24/7 ACCESS. GATE COMBO 2370,,Yes,Cam Lock,50.0,No,2370 - ATC,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"68 HANOVER STREET, SILVER CREEK, NY is a good GPS Nav address, tower is being the Hanover Town Hall Bldg on the left hand side.",,,,,,,,,,,,,,,,No,
SOUTH,MIAMI FL,,FL8444BA,FL8444BA,Luis Zapata (lzapata),Unipole/ Micropole,ON-AIR,2025-12-11,9876541234,60.0,,2490 SW 95TH ROAD,,Yes,Appleton,50.0,,01,,,,,Yes,,,,,,,,,,,,2490 SW 95TH ROAD,,,,,,,,,,,,,,,,No,
WEST,SACRAMENTO,Jarod Sparrowk,SC60559C,Oak Park Way,Michael Johnson (MJohnso74),Monopine,ON-AIR,2025-12-11,1011351391,200.0,1.0,,,Yes,Cam Lock,10.0,No,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
NORTHEAST,NEW JERSEY NJ,,NJ3035BA,Crown Small Cell,Paden Saracino (PSaraci),Catenary Structure,ON-AIR,2025-12-11,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NORTHEAST,NEW JERSEY NJ,,NJ3097BA,Crown Small Cell,John Denis (JDenis3),Catenary Structure,ON-AIR,2025-12-11,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,MEMPHIS,Kristi Anderson,9ME7442A,9ME7442A,Todd McElwee (TMcElwe),Guyed Tower,ON-AIR,2025-12-11,360133378,200.0,1.0,"American Tower
Site ID: 206609
Gate Code 6275 (AL), 2005 (MS), 1760 (TN), 2055 (LA)
GNOC: Please dial (877) 518-6937 , then choose option 2 to connect to the GNOC
(or 6 if it is a lighting issue).",,Yes,Cam Lock,50.0,No,2005,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head toward Inverness Center Pkwy. Go for 213 ft.
Then 0.04 mi
Turn left onto Inverness Center Pkwy. Go for 0.3 mi.
Then 0.3 mi
Turn left onto Highway 280 (US-280 W). Go for 6.5 mi.
Then 6.5 mi
Take ramp onto US-31 N/US-280 W (Elton B Stephens Expy). Go for 2.8 mi.
Then 2.8 mi
Take the exit onto I-20 W/I-59 S. Go for 1.8 mi.
Then 1.8 mi
Take exit 124C toward Huntsville onto I-65 N. Go for 3.6 mi.
Then 3.6 mi
Take exit 265A toward Memphis onto I-22 W. Go for 96.8 mi.
Then 96.8 mi
Continue on I-22 W. Go for 105 mi.
Then 105.1 mi
Take exit 12B-12A toward Collierville/MS-304 E onto I-269 N. Go for 11.1 mi.
Then 11.1 mi
Continue on I-269 N. Go for 11.4 mi.
Then 11.4 mi
Take the exit toward Macon onto TN-193 E (Macon Rd). Go for 8.7 mi.
Then 8.7 mi
Turn sharp left onto Highway 194 (TN-194). Go for 3.2 mi.
Then 3.2 mi
12197 State Route 194

Oakland, Tennessee 38060-4627",,,24/7 365,,,,,,,,,,,,,No,
SOUTH,MOBILE,Kristi Anderson,NO07515A,Cryer,Michael Nelson (MNelson85),Monopole,ON-AIR,2025-12-11,AM131413072167634,200.0,1.0,"Crown Castle
Site ID:841102
Gate code: 7011
NOC:1-900-788-7011",,Yes,Cam Lock,50.0,,7011,7011,7011,,7011,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head west. Go for 154 ft.
Then 0.03 mi
Turn right. Go for 144 ft.
Then 0.03 mi
Turn right toward Carlyle Clos. Go for 459 ft.
Then 0.09 mi
Turn slightly right onto Carlyle Clos. Go for 276 ft.
Then 0.05 mi
Turn left onto Montlimar Dr. Go for 0.5 mi.
Then 0.5 mi
Turn right onto Airport Blvd (CR-56 E). Go for 0.5 mi.
Then 0.5 mi
Take ramp onto I-65 N toward Montgomery. Go for 9.1 mi.
Then 9.1 mi
Take exit 13 toward Citronelle. Go for 0.6 mi.
Then 0.6 mi
Turn left onto Industrial Pkwy (AL-158 W/AL-213 W) toward University of Mobile/Citronelle. Go for 0.2 mi.
Then 0.2 mi
Continue on Industrial Pkwy (AL-158 W). Go for 19.3 mi.
Then 19.3 mi
Continue on Moffett Rd (US-98 W). Go for 0.5 mi.
Then 0.5 mi
Continue on Highway 98 (US-98 W). Go for 64.0 mi.
Then 64.0 mi
Take the exit toward US-98 W/Columbia/Laurel/Jackson onto I-59 N. Go for 9.1 mi.
Then 9.1 mi
Take exit 67B toward MS-42 W/Jackson/Collins onto US-49 N (U S Highway 49). Go for 82.3 mi.
Then 82.3 mi
Take ramp onto I-20 W toward I-55 S/US-49 N. Go for 3.5 mi.
Then 3.5 mi
Continue on I-20 W toward US-49 S/Vicksburg/Yazoo City/Terry Rd/University Blvd. Go for 44.4 mi.
Then 44.4 mi
Continue on I-20 W (The Great River Rd). Go for 73.7 mi.
Then 73.7 mi
Take exit 115 toward Mill St onto LA-34 N (Mill St). Go for 0.8 mi.
Then 0.8 mi
Turn left onto Cypress St (US-80). Go for 1.0 mi.
Then 1.0 mi
Turn right onto Cryer St. Go for 449 ft.
Then 0.09 mi
120 Cryer St

West Monroe, Louisiana 71291-2625",,,NONE,,,,,,,,,,,,,No,
CENTRAL,MINNEAPOLIS MN,TEK: Nicole MacDonald / Smartlink: Leticia Zayas,A1Q0882A,ATC 272487,Russell Janzen (RJanzen1),Monopole,ON-AIR,2025-12-11,354738991,200.0,1.0,"Access is 24/7 T-Mobile Locks 5596 Site is Outdoor, Modernized, with RRU Radios.",,Yes,Cam Lock,30.0,No,ATC's Lock 2055,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-494 E in Bloomington from W 78th St and Marth Rd 4 min (1.2 mi)
Continue to Inver Grove Heights. Take exit 66 from I-494 E 17 min (16.8 mi)
Get on I-90 E in Marion 1 hr 11 min (79.4 mi)
Follow I-90 E to County Rd B N/Dawson Ave in French Island. Take exit 2 from I-90 E
51 min (59.7 mi) Continue on Dawson Ave. Drive to Fanta Reed Rd in La Crosse to Monopole on the East side of road",,,,,,,,,,,,,,,,No,
CENTRAL,ST. LOUIS,Angela Pitchford,MO05182A,Tillman_2717734,Casey Hinkel (CHinkel1),Guyed Tower,ON-AIR,2025-12-10,95936593,200.0,,Gate Code  Access Info 1776,,Yes,Cam Lock,25.0,No,1776,,,,,No,,,,08:00-17:00,,,,,,,,"From St Louis MO switch: Head to McKelvey Rd. Turn right onto McKelvey Rd and continue straight. Continue straight to stay on McKelvey Rd, which becomes Olive Blvd. Continue east on Olive Blvd for about 2 miles. Merge onto I-270 N via the ramp on the left toward I-55 N/I-44 E. Stay on I-270 N and continue for about 7 miles.
Take exit 1A-1B for I-55 N toward Chicago.
Continue on I-55 N for about 60 miles.
Take exit 119A for MO-161 N toward Middletown. Follow MO-161 N for about 5 miles. Your destination, 396 Hwy 161, will be on the left.",,,,,,,,,,,,,,,,No,
CENTRAL,LOUISVILLE,TEK: Nicole MacDonald / Smartlink: Leticia Zayas,9LV0383A,Pending,P.J. Martin (PMartin142),Monopole,ON-AIR,2025-12-10,102031434,200.0,,"American Tower-1760
T-Mobile 4570",,Yes,Cam Lock,40.0,No,Compound 1760 / Equipment 4570,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-64 E from Blankenbaker Pkwy
3 min (1.0 mi)

Head north on Commonwealth Dr toward Decimal Dr

0.1 mi

Turn right onto Decimal Dr

0.1 mi

Turn right onto Bluegrass Pkwy

0.2 mi

Use the middle lane to turn left onto Blankenbaker Pkwy
 Pass by Logan's Roadhouse (on the right in 0.3 mi)

0.3 mi

Use the right lane to take the ramp onto I-64 E

0.3 mi


Follow I-265 W/Gene Snyder Fwy and I-65 S to KY-101 in Warren County. Take exit 38 from I-65 S
1 hr 31 min (105 mi)

Merge onto I-64 E

1.2 mi

Use the right 2 lanes to take exit 19 A for I-265 S/Kentucky 841 S/Gene Snyder Fwy toward 19 A

0.2 mi

Use the right 2 lanes to turn slightly right to merge onto I-265 W/Gene Snyder Fwy

14.7 mi

Continue onto KY-841 W/Gene Snyder Fwy

0.5 mi

Take exit 10B to merge onto I-65 S toward Nashville

87.9 mi

Take exit 38 for KY-101 toward US-68/Scottsville/Smiths Grove

0.2 mi

Take the ramp to KY-101

131 ft


Continue on KY-101. Take KY-1297 to Hunts Bend Rd
17 min (13.1 mi)

Turn left onto KY-101

0.2 mi

At the traffic circle, continue straight onto KY-101 N

4.7 mi

Turn right onto KY-1297

6.3 mi

Turn right onto KY-1402 W

0.8 mi

Turn left onto Hunts Bend Rd
 Destination will be on the right

1.2 mi
Site access road begins at   36.9575566, -86.3233808 you will drive by home",,,,,,,,,,,,,,,,No,
SOUTH,DALLAS TX,Quin Freeman - E2E,DA06332A,ATC 311467,Chuck Aufill (RAufill1),Guyed Tower,ON-AIR,2025-12-10,353 245 949,200.0,1.0,"ATC TOWER COMBO 2055
TMO COMBO 2336",,Yes,Cam Lock,20.0,No,"ATC 2055, TMO 2336",,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Leave Plainview Texas on Hwy 194 for approximately 28 miles to Hart Texas.  Go straight through the 4 way stop to Ave A turn right.  Go to 9th street and turn right.  Tower is on your right.,,,,,,,,,,,,,,,,No,
CENTRAL,LOUISVILLE,,9LV3320A,Vertical Bridge-Edmonson,P.J. Martin (PMartin142),Self Support Tower,ON-AIR,2025-12-10,324 787 348,200.0,,"*********************
Lease Access Details
*********************
Vertical Bridge Sites:
This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 or email aton.noc@spx.com. VB site reference number is US-KY-5381. Please verify all codes/combos and special instructions to get access.  If issue, call NOC to verify info or open ticket. Get NTP from VB if needing tower climb. 

*************************
Additional Access Details
*************************
Coordinates take you directly to site -24/7 Access - Gate code: 0951 or 1280- When on site, call VB NOC for access ticket. Phone number is on site signage",,Yes,Cam Lock,40.0,No,0951 or 1280,0951 or 1280,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-64 E from Blankenbaker Pkwy
3 min (1.0 mi)

Head north on Commonwealth Dr toward Decimal Dr

0.1 mi

Turn right onto Decimal Dr

0.1 mi

Turn right onto Bluegrass Pkwy

0.2 mi

Use the middle lane to turn left onto Blankenbaker Pkwy
 Pass by Logan's Roadhouse (on the right in 0.3 mi)

0.3 mi

Use the right lane to take the ramp onto I-64 E

0.3 mi


Follow I-265 W/Gene Snyder Fwy and I-65 S to KY-255/Mammoth Cave Pkwy in Barren County. Take exit 48 from I-65 S
1 hr 22 min (94.9 mi)

Merge onto I-64 E

1.2 mi

Use the right 2 lanes to take exit 19 A for I-265 S/Kentucky 841 S/Gene Snyder Fwy toward 19 A

0.2 mi

Use the right 2 lanes to turn slightly right to merge onto I-265 W/Gene Snyder Fwy

14.7 mi

Continue onto KY-841 W/Gene Snyder Fwy

0.5 mi

Take exit 10B to merge onto I-65 S toward Nashville

78.1 mi

Take exit 48 for KY-255 toward Park City/Brownsville

0.2 mi


Take US-31W S/Louisville Rd to Rhea Rd in Edmonson County
17 min (12.3 mi)

Turn left onto KY-255/Mammoth Cave Pkwy

0.4 mi

Turn right onto US-31W S/2nd St/Louisville Rd
 Continue to follow US-31W S/Louisville Rd

7.5 mi

Turn right onto State Hwy 422

1.7 mi

Turn left onto State Hwy 743

1.1 mi

Turn right onto Beaver Dam Church Rd
1.1 mi

Turn left onto Rhea Rd
0.5 mi
Site access road begins at  37.1327539, -86.2200790",,,,,,,,,,,,,,,,No,
NORTHEAST,VIRGINIA,,VAB0203A,Busch Gardens Theme Park,Isaiah Smalls (ISmalls1),Outdoor BTS,ON-AIR,2025-12-10,,100.0,,see notes,,No,No Gen Plug Available,0.0,,see notes,,,,,No,No,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Switch  Take 64W to exit 243A. take US 60W to Busch Gardens Blvd (employee entrance). Follow to Guard Shack. Must have valid state or government issued ID. Past 2nd guard shack(unmanned) follow road to the right. 2 story building should be on your left. Shelter on left after two story building. Crown Castle Shelter has push button lock. Code is 7011. You must log in with Crown Castle NOC for Small Cell.  888-632-0931 for Crown Castle NOC for small cell (SCN.NOC@crowncastle.com). There are 5 Nodes/Sectors inside the Busch Garden theme park: Grogan's Pub, Marco Polo, Dark Kastle(N03), Griffon's Gift, Dark Kastle(N05). This Outdoor DAS site is being maintained by Crown Castle.",,,See access notes,,,,,,,,,,,,,No,
WEST,LA NORTH,,SV9318BA,SV9318BA,Matt Toledo (MToledo10),Catenary Structure,ON-AIR,2025-12-10,,,,,,No,No Gen Plug Available,0.0,,,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
NORTHEAST,NY (UPSTATE),,UP20375A,sba_NY04710-S_kendall,Nick DiRisio (NDirisi),Self Support Tower,ON-AIR,2025-12-10,09117923,200.0,,Gate Lock combo Code: 4722. SBA NOC must be contacted 72 hours prior to construction start (800-487-7483),,Yes,Cam Lock,50.0,No,4722,,,,,No,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Turn right onto Monarch Dr. Go for 0.1 mi.
Turn sharp right onto Commerce Blvd. Go for 0.4 mi.
Turn right onto Tulip St (CR-47). Go for 354 ft
Continue on Morgan Rd (CR-47). Go for 341 ft.
Turn left onto Liverpool Byp (CR-88). Go for 0.5 mi.
Turn left onto Oswego Rd (CR-57/CR-91). Go for 0.4 mi.
Take ramp onto I-90 W (New York State Thruway) toward CR-57 N/Fulton/Oswego/Buffalo. Go for 65.6 mi.
Take exit 45 toward Rochester/I-490. Go for 0.5 mi.
Keep left onto I-490 W toward Rochester. Go for 20.0 mi.
Take the exit toward Spencerport/Brockport onto RT-531 W (Spencerport Expy). Go for 10.5 mi.
Turn right onto Sweden Walker Rd (RT-260). Go for 1.9 mi.
Turn left onto W Ridge Rd (RT-104). Go for 11.3 mi.
Turn right onto Peter Smith Rd (CR-32). Go for 3.3 mi.
Turn right onto Carr Rd (CR-51). Go for 1.0 mi.
Turn right onto W Kendall Rd. Go for 0.4 mi.

1751 W Kendall Rd
Kendall, New York 14476-9735",,,,,,,,,,,,,,,,No,
NORTHEAST,VIRGINIA,,VAB0204A,Busch Gardens Theme Park,Isaiah Smalls (ISmalls1),Outdoor BTS,ON-AIR,2025-12-10,,100.0,,see notes,,No,No Gen Plug Available,0.0,,see notes,,,,,No,No,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Switch  Take 64W to exit 243A. take US 60W to Busch Gardens Blvd (employee entrance). Follow to Guard Shack. Must have valid state or government issued ID. Past 2nd guard shack(unmanned) follow road to the right. 2 story building should be on your left. Shelter on left after two story building. Crown Castle Shelter has push button lock. Code is 7011. You must log in with Crown Castle NOC for Small Cell.  888-632-0931 for Crown Castle NOC for small cell (SCN.NOC@crowncastle.com). There are 5 Nodes/Sectors inside the Busch Garden theme park: Grogan's Pub, Marco Polo, Dark Kastle(N03), Griffon's Gift, Dark Kastle(N05). This Outdoor DAS site is being maintained by Crown Castle.",,,See access notes,,,,,,,,,,,,,No,
NORTHEAST,NEW YORK NY,,NYYAI03A,Memorial Sloan Kettering Cancer Center,johnny Guanga (JGuanga),In-Building BTS,ON-AIR,2025-12-10,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NORTHEAST,NY (UPSTATE),,UP30336A,fargo_rt3,Brian Webb (BWebb),Self Support Tower,ON-AIR,2025-12-10,26 487 223,200.0,,Combo 4022,,Yes,Cam Lock,50.0,No,4022,,4022,,4022,Yes,Yes,Yes,Yes,,,,,,,,,"From Syracuse, NY

Merge onto I-81 N
72.5 mi

Take exit 48 to merge onto NY-342 E toward NY-37
0.3 mi

Merge onto NY-342 E
6.1 mi

Turn left onto State Rte 3 E
5.4 mi

Turn left onto State Hwy 3A
5.2 mi

Turn left onto State Rte 3 E
0.7 mi

Tower located at
Kempney Trucking LLC
40088 State Rte 3, Carthage, NY 13619",,,,,,,Equipment Pad,,,,,,,,,No,
SOUTH,AUSTIN TX,Quin Freeman,CC02626A,CC02626A,Lucas Rivera (LRivera8),Self Support Tower,ON-AIR,2025-12-10,200 117 517,200.0,,24/7 Access - 1900 is the combo,,Yes,Cam Lock,30.0,No,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on State Hwy 71 E from Todd Ln and E Ben White Blvd
Head southeast toward E St Elmo Rd
Turn left toward E St Elmo Rd
Turn right at the 1st cross street onto E St Elmo Rd
At the traffic circle, take the 3rd exit onto Todd Ln
Turn right onto E Ben White Blvd
Slight left onto the State Route 71 E ramp
Follow TX-130 S/TX-130 Toll S, US-183 S and TX-80 S to FM792 S in Karnes County
Merge onto State Hwy 71 E
Slight left to stay on State Hwy 71 E
Exit onto State Hwy 71 E/TX-71 E toward TX-45 Toll S/TX-130 Toll S/Bastrop/San Antonio
Turn right to merge onto TX-130 S/TX-130 Toll S toward TX-45Toll S/San Antonio
Take exit 470 to merge onto US-183 S/N Colorado St
Continue onto TX-80 S/S Magnolia Ave
Continue on FM792 S to Kenedy
Slight left onto FM792 S
Turn right onto FM719 W
Drive to US-181 S in San Patricio County. Take the US-181 S exit from US-181 S
Turn left onto US-181 S/N Sunset Strip St
Use the right lane to take the US-181 S ramp to Sinton
Continue on US-181 S. Drive to US-77 BUS S/S San Patricio St
Turn right onto US-181 S
Continue onto US-77 BUS S/S San Patricio St
2002 S San Patricio St Sinton, TX 78387",,,,,,,,,,,,,,,,No,
NORTHEAST,NEW YORK NY,,NYYAI02A,HOLD - Memorial Sloan Kettering Cancer Center,johnny Guanga (JGuanga),In-Building BTS,ON-AIR,2025-12-10,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,HOUSTON TX,Quin Freeman - E2E,A3L0365A,ATC 374712,Shawn Blanton (SBlanto),Guyed Tower,ON-AIR,2025-12-10,646447,200.0,,,,Yes,Cam Lock,50.0,No,2055,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"4660 N Sam Houston Pkwy E
Houston, TX 77032


Get on TX-8 Beltway E from N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd
2 min (0.4 mi)

Head north
16 ft

Turn left
0.1 mi

Turn right toward N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd
89 ft

Turn right onto N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd
0.1 mi

Slight left onto the Texas 8 Beltway E ramp

0.1 mi


Take US-59 N and TX-103 E to TX-21 E in Bronson
2 hr 27 min (159 mi)

Merge onto TX-8 Beltway E

0.9 mi

Use the right 2 lanes to merge onto I-69/US-59 N toward Cleveland

34.0 mi

Continue onto US-59 N

58.2 mi

Slight right onto Diboll Relief Rte

2.5 mi

Keep left to stay on Diboll Relief Rte
4.8 mi

Merge onto US-59 N
5.3 mi

Slight right to merge onto TX-287 Loop E/US-59 N/S Medford Dr toward Nacogdoches

4.2 mi

Turn right onto Paul Ave

0.9 mi

Turn right onto TX-103 E

48.0 mi


Continue on TX-21 E. Drive to Cedar Grove Rd in Milam
13 min (10.2 mi)

Continue onto TX-21 E

8.9 mi

Turn left onto Cedar Grove Rd

1.4 mi
1240 Cedar Grove Rd
Hemphill, TX 75948",,,,,,,,,,,,,,,,No,
